KEY,DESCRIPTION,IT,EN,JA,DE
BUTTON_ROUTE_BICYCLE,,🚲 IN BICI,🚲 BY BICYCLE,🚲 自転車による,🚲 MIT DEM FAHRRAD
BUTTON_ROUTE_CIRCULAR_NO,,📏 LINEARE,📏 LINEAR,📏 線形,📏 LINEAR
BUTTON_ROUTE_CIRCULAR_YES,,🔄 CIRCOLARE,🔄 CIRCULAR,🔄 円,🔄 RUNDWEG
BUTTON_ROUTE_FOOT,,🦶 A PIEDI,🦶 ON FOOT,🦶 歩いて,🦶 ZU FUSS
BUTTON_ROUTE_KIDS,,👶 BAMBINI,👶 KIDS,👶 子供たち,👶 KINDER
BUTTON_SECOND_HINT,,💡 SECONDO INDIZIO,💡 SECOND HINT,💡 セカンドヒント,💡 ZWEITE HINWEIS
BUTTON_SKIP,,⏩ SALTA,⏩ SKIP,⏩ スキップ,⏩ ÜBERSPRINGT
BUTTON_SKIP_INPUT_PHOTO,,⏩ SALTA FOTO,⏩ SKIP PHOTO,⏩写真をスキップ,⏩ FOTO ÜBERSPRINGEN
BUTTON_SKIP_INPUT_VOICE,,⏩ SALTA VOCALE,⏩ SKIP VOICE RECORDING,⏩ 音声録音をスキップ,⏩ SPRACHAUFNAHME ÜBERSPRINGEN
BUTTON_SKIP_INPUT_VIDEO,,⏩ SALTA VIDEO,⏩ SKIP VIDEO,⏩ ビデオをスキップ,⏩ VIDEO ÜBERSPRINGEN
BUTTON_SKIP_MISSION,,⏩ SALTA MISSIONE,⏩ SKIP MISSION,⏩ ミッションをスキップ,⏩ MISSION ÜBERSPRINGEN
BUTTON_START,,🎯 INIZIAMO!,🎯 LET'S START!,🎯 始めましょう！,🎯 JETZT LOSS！
BUTTON_START_GAME,,🎯 INIZIAMO IL GIOCO!,🎯 LET'S START THE GAME!,🎯 ゲームを始めましょう！,🎯 JETZT KANN DAS SPIEL BEGINNEN!
BUTTON_START_HUNT,,🏁 Inizia una caccia al tesoro,🏁 Start a treasure hunt,🏁 トレジャーハントを開始します,🏁 Beginnt eine Schatzsuche
BUTTON_STATS_ACTIVE,,📈 STATS IN CORSO,📈 STATS CURRENT,📈 stats current,📈 DERZETIGE STATISTIKEN
BUTTON_SWITCH_DE,,🇩🇪 Auf deutsch spielen,🇩🇪 Auf deutsch spielen,🇩🇪 Auf deutsch spielen,🇩🇪 Auf deutsch spielen
BUTTON_SWITCH_EN,,🇬🇧 Switch to English,🇬🇧 Switch to English,🇬🇧 Switch to English,🇬🇧 Switch to English
BUTTON_SWITCH_IT,,🇮🇹 Passa all'italiano,🇮🇹 Passa all'italiano,🇮🇹 Passa all'italiano,🇮🇹 Passa all'italiano
BUTTON_SWITCH_JA,,🇯🇵 日本語に切り替える,🇯🇵 日本語に切り替える,🇯🇵 日本語に切り替える,🇯🇵 日本語に切り替える
BUTTON_SWITCH_LANGUAGE,,🌐 LANGUAGE,🌐 LANGUAGE,🌐 LANGUAGE,🌐 SPRACHE
BUTTON_TERMINATE,,✂️ TERMINA CACCIA,✂️ TERMINATE HUNT,✂️ を終了します,✂️ ENDET DIE SCHATZSUCHE
BUTTON_TEST_MISSION,,🧪 TEST MISSIONE,🧪 TEST MISSION,🧪 テストミッション,🧪 TEST MISSION
BUTTON_UNDERSTOOD,,👌 HO CAPITO,👌 UNDERSTOOD,👌 理解された,👌 VERSTANDEN
BUTTON_UPDATE_HUNTS_CONFIG,,💨 AGGIORNA CACCE,💨 UPDATE HUNTS,💨 を更新します,💨 SCHATZSUCHEN AKTUALISIEREN
BUTTON_VERSION,,🏷️ VERSIONE,🏷️ VERSION,🏷️ 嫌なバージョン,🏷️ VERSION
BUTTON_YES,,✅ SI,✅ YES,✅ はい,✅ JA
COMMAND_EXIT,,🚪Esci dalla caccia,🚪Exit the hunt,🚪ハントを終了します,🚪Verlasst die Schatzsuche
COMMAND_HELP,,🆘 Chiedi aiuto,🆘 Get help,🆘助けを得る,🆘 Um Hilfe rufen
MSG_ADMIN,,🔑 INTERFACCIA AMMINISTRATORI,🔑 ADMIN INTERFACE,🔑 管理インターフェイス,🔑 ADMIN SCHNITTSTELLE
MSG_ANSWER_ALMOST,,🙄 Ci sei quasi...,🙄 Almost...,🙄 ほとんど...,🙄 Fast...
MSG_ANSWER_OK_01,,🤗 Risposta esatta!,🤗 Correct answer!,🤗 正解！,🤗 korrekt!
MSG_ANSWER_OK_02,,🤗 Esatto!,🤗 Exactly!,🤗 正確に！,🤗 Genau!!
MSG_ANSWER_OK_03,,🤗 Proprio così!,🤗 Way to go!,🤗 行く方法！,🤗 Richtig!
MSG_ANSWER_WRONG_NO_PENALTY_01,,"😲 Risposta sbagliata, riprovate!","😲 Wrong answer, try again!",😲 間違った答え、もう一度やり直してください！,"😲 Falsche Antwort, versuch es nochmal!"
MSG_ANSWER_WRONG_NO_PENALTY_02,,"😲 Mi dispiace, avete sbagliato, riprovate!","😲 I'm sorry, wrong answer! Try again.",😲 ごめんなさい、間違った答え！再試行。,"😲 Noch Nicht Richtig, versuch es nochmal!"
MSG_ANSWER_WRONG_NO_PENALTY_03,,"😲 No, mi dispiace, provate di nuovo!","😲 No, I'm sorry, try again!",😲 いいえ、ごめんなさい、もう一度やり直してください！,"😲 Leider nicht, versuch es nochmal!"
MSG_ANSWER_WRONG_PL,,"🤔 Risposta sbagliata, riprovate!

⚠️ Attenzione, avete totalizzato {} risposte sbagliate che comportano una penalità di {} secondi.","🤔 Wrong answer! Try again.

⚠️ Warning, you got {} wrong answers which result in a penalty of {} seconds.","🤔 間違った答え！再試行。

「警告、あなたは{}間違った答えを得たので、{}秒のペナルティが得られます。","🤔 Falsche Antwort! Versuch es noch mal.
⚠️ Achtung, ihr habt {} falsche Antworten gesammelt, das bedeutet eine Strafe von {} Sekunden."
MSG_ANSWER_WRONG_SG,,"🤔 Risposta sbagliata, riprovate!

⚠️ Attenzione, avete totalizzato {} risposta sbagliata che comporta una penalità di {} secondi.","🤔 Wrong answer! Try again.

⚠️ Warning, you got {} wrong answer which results in a penalty of {} seconds.","🤔 間違った答え！再試行。

「警告、{}間違った答えが得られ、{}秒のペナルティが得られます。","🤔 Falsche Antwort! Versuch es noch mal.
⚠️ Achtung, ihr habt {} falsche Antworten gesammelt, das bedeutet eine Strafe von {} Sekunden."
MSG_AUTO_QUIT,,"⚠️ Ho visto che hai iniziato la caccia al tesoro ma non la hai completata.
La caccia verrà ora terminata, ma hai la possibilità di ricominciarne un'altra quando vorrai. 😉
💬 Se ti va di darci qualche suggerimento per migliorare il gioco, ti invito a mandare un messaggio sul [Gruppo Telegram di Supporto](https://t.me/+aY3jb5BM6EE5Mzc8).
Grazie per aver giocato con noi! 😀","⚠️ I saw you started the treasure hunt but you haven't completed it.
The hunt will now be terminated, but you have the option to start another one whenever you want. 😉
💬 If you would like to give us some suggestions to improve the game, I invite you to send a message to the [Support group on Telegram](https://t.me/+aY3jb5BM6EE5Mzc8).
Thanks for playing with us! 😀","⚠️ 私はあなたがトレジャーハントを始めたのを見ましたが、あなたはそれを完了していません。
狩りは終了しますが、いつでも別のものを開始するオプションがあります。 😉
💬 ゲームを改善するための提案がございましたら、[Telegram のサポート グループ](https://t.me/+aY3jb5BM6EE5Mzc8) にメッセージをお送りください。
一緒に遊んでくれてありがとう！ 😀」","⚠️ Ich habe bemerkt, dass ihr die Schatzsuche begonnen habt ohne sie zubeenden.
Deswegen wird die Jagd jetzt geschlossen, aber gibt es jederzeit  die Möglichkeit eine neue zu starten. 😉
💬 Wenn Sie uns Vorschläge zur Verbesserung des Spiels machen möchten, lade ich Sie ein, eine Nachricht an die [Support-Gruppe auf Telegram] (https://t.me/+aY3jb5BM6EE5Mzc8) zu senden.
Danke, dass du mit uns spielst! 😀"""
MSG_BUCKET_UPDATED,,🪣 Bucket aggiornato!,🪣 Bucket updated,🪣 バケットが更新されました,🪣 Bucket aktualisiert
MSG_CHANGE_LANGUAGE,,🌐 CHANGE LANGUAGE,🌐 CHANGE LANGUAGE,🌐 CHANGE LANGUAGE,🌐 SPRACHE WECHSELN
MSG_CHECK_HUNT_OK,,✅ Nessun errore rilevato,✅ No error found,✅ エラーは見つかりません,✅ Kein Fehler gefunden
MSG_CONFIRM_PHOTO_INPUT,,👀 Provate a controllare la foto. Siete sicuri di volerla inviare?,👀 Try to check the photo. Are you sure you want to send it to us?,👀 写真を確認してみてください。あなたはそれを私たちに送りたいですか？,👀 Überprüft euer Bild! Wollt ihr es wirklich schicken?
MSG_CONFIRM_RECORDING_INPUT,,👂 Provate a riascoltare la registrazione. Siete sicuri di volerla inviare?,👂 Try to listen to the recording. Are you sure you want to send it to us?,👂 録音を聞いてみてください。あなたはそれを私たちに送りたいですか？,👂 Hör euch die Aufnahme an. Wollt ihr es wirchlich an mir schicken?
MSG_CONGRATS_PRE_SURVEY,,"🎉 Bravissimi, avete concluso la caccia al tesoro! 🎊","🎉 Congratulations, you have finished the treasure hunt! 🎊",🎉 おめでとうございます、あなたはトレジャーハントを終えました！ 🎊,"🎉 Super, ihr habt die Schatzsuche beendet! 🎊"
MSG_EMAIL,,📧 Potete lasciarci i vostri indirizzi email (separati da spazio) per informarvi di altre iniziative simili?,📧 Can you send me your email addresses (space separated) so that we can inform you about future treasure hunts?,📧 将来の宝狩りについてお知らせできるように、メールアドレス（スペース分離）を送っていただけますか？,📧 Kannst du mir deine E-Mail-Adresse senden? So können wir dich über zukünftige Schatzsuchen informieren.
MSG_EMAIL_WRONG,,"⛔️ Input non valido, devi inserire un indirizzo email o premere su ⏩ SALTA.","⛔️ Not a valid input, you have to insert email addresses or press on ⏩ SKIP.",⛔️ 有効な入力ではなく、メールアドレスを挿入するか、⏩ SKIP を押す必要があります。,"⛔️ Ungültige Eingabe, schreib deine E-Mail-Adresse ins Feld oder klicke auf ⏩ WEITER."
MSG_END,,"🏆 Bravi! Che soddisfazione!

🏁 Avete completato la caccia al tesoro in *{1}*!!
({2} tempo + {0} penalità)

🏁 Avete completato le missioni in *{3}*!! ({4} tempo + {0} penalità)","🏆 Congratulations!

🏁 You have completed the treasure hunt in *{1}*!!
({2} time + {0} penalty)

🏁 You have completed the missions in *{3}*!! ({4} time + {0} penalty)","🏆おめでとう！

🏁 *{1} *!!の宝狩りを完了しました。
（{2} time + {0}ペナルティ）

🏁 *{3} *でミッションを完了しました!! （{4} time + {0}ペナルティ）","🏆 Bravo!

🏁 ihr habt in *{1}* Sekunde die Schatzsuche beendet!!
({2} zeit + {0} Strafe)

🏁 Ihr habt in *{3}* alle Aufgabe gemeistert!!! ({4} zeit+ {0} strafe)"
MSG_END_NO_PENALTY,,"🏆 Bravi! Che soddisfazione!

🏁 Avete completato la caccia al tesoro in *{}*!!

🏁 Avete completato le missioni in *{}*!!","🏆 Congratulations!

🏁 You have completed the treasure hunt in *{}*!!

🏁 You have completed the missions in *{}*!!","🏆おめでとう！

🏁 *{} *!!の宝狩りを完了しました

🏁 *{} *でミッションを完了しました!!","🏆 Herzliche Glückwünsche!

🏁 Ihr habt die Schatzsuche in *{}* beendet!!

🏁  Ihr habt in *{}* alle Aufgabe gemeistert!"
MSG_END_NO_TIME,,"🏆 Bravi! Che soddisfazione!

🏁 Avete completato la caccia al tesoro!!
","🏆 Congratulations!

🏁 You have completed the treasure hunt!!
","🏆おめでとう！

🏁 の宝狩りを完了しました!!","🏆 Herzliche Glückwünsche!

🏁 Ihr habt die Schatzsuche beendet!!"
MSG_ERROR_ROUTING,,"🙇 Ci dispiace, si è verificato un problema nel trovare un percorso.","🙇 I'm sorry, I was unable to find an adequate path for the settings inserted.",🙇 申し訳ありませんが、挿入された設定に適したパスを見つけることができませんでした。,"🙇 Es tut mir leid, ich konnte keinen angemessenen Pfad für die eingefügten Einstellungen finden."
MSG_EXIT_FROM_GAME_CONFIRM,,⚠️ Sei proprio sicuro/a di voler uscire dalla caccia? La caccia verrà eliminata e non potrai riprenderla. ,⚠️ Are you really sure you want to exit from the hunt? The hunt will be deleted and you cannot resume it.,⚠️ ハントを終了してもよろしいですか？ ハントは削除され、再開できなくなります。,"⚠️ Bist du wirklich sicher, dass du die Schatzsuche beenden möchtest? Alles wird gelöscht und wird nicht fortgesetzt. "
MSG_EXIT_FROM_GAME_CONFIRM_COMMAND,,"⚠️ Sei proprio sicuro/a di voler uscire dalla caccia? La caccia verrà eliminata e non potrai riprenderla. Se sei sicuro/a, premi su → {} ←","⚠️ Are you really sure you want to exit from the hunt? The hunt will be deleted and you cannot resume it. If you are sure, please press on → {} ←",⚠️ ハントを終了してもよろしいですか？ ハントは削除され、再開できなくなります。 よろしければ、→ {} ← を押してください,"⚠️ Bist du wirklich sicher, dass du die Schatzsuche beenden möchtest? Alles wird gelöscht und wird nicht fortgesetzt. Wenn du sicher bist, drück bitte auf → {} ←"
MSG_EXITED_FROM_GAME,,🚪 Sei uscito/a dalla caccia al tesoro!,🚪 You have exited the treasure hunt.,🚪 宝狩りを終えました。,🚪 Du hast die Schatzsuche verlassen.
MSG_FINAL_RESET_OFF,,🔔 Verrete avvisati quando ritornare al punto di partenza per la premiazione!,🔔 We will let you know when to go back to the starting point for the awarding!,🔔 賞の出発点に戻るタイミングをお知らせします！,"🔔 Wir werden euch Bescheid geben, damit ihr wieder zum Ausgangspunkt zur Erhaltung der Preise zurückkehren könnt!"
MSG_FINAL_RESET_ON,,📜 Pubblicheremo i risultati sulla nostra [pagina Facebook](https://www.facebook.com/historictrento).,📜 We will publish the result on our [Facebook page](https://www.facebook.com/historictrento). ,📜 [[Facebookページ](https://www.facebook.com/historictrento) で結果を公開します。,📜 Das Ergebnis wird auf unserer [Facebook -Seite] (https://www.facebook.com/historictrento) veröffentlicht.
MSG_GAME_IS_LOADING,,⏳ Gioco in caricamento... ti preghiamo di attendere.,⏳ Game is loading... please wait.,⏳ロードゲーム...待ってください。,⏳ Spiel wird geladen ... bitte warten.
MSG_GET_GPS_TO_SET_HUNT_START,,📍 Inviami la tua posizione per impostare il punto di partenza della caccia,📍 Send me your position to set the starting point of the hunt,📍 私にあなたの立場を送ってください狩りの出発点を設定する,"📍 Teilt eure aktuelle Position mit mir, um den Ausgangspunkt der Jagd festzulegen."
MSG_GO,,🏃‍♂️🏃‍♀️ Si parte!,🏃‍♂️🏃‍♀️ Let's go!,🏃‍♂🏃‍♀️ しましょう！,🏃 Los!
MSG_GO_TO_PLACE,,📍 Recatevi nel seguente luogo e quando siete arrivati mandatemi la vostra posizione.,📍 Go to the following place and when you are there send me your position!,📍 次の場所に行き、あなたがそこにいるとき私にあなたの立場を送ってください！,"📍 Geht ihr zu folgendem Ort. Wenn ihr dort ankommt, teilt eure Position mit mir!"
MSG_GO_TO_QR,,📍 Recatevi nel luogo indicato e fate  una foto al codice QR.,📍 Go to the indicated place and take a photo of the QR code.,📍 されている場所に移動して、QRコードの写真を撮ります。,📍 Gehen Sie zum angegebenen Ort und machen Sie ein Foto des QR -Code.
MSG_GO_TO_START_LOCATION,,"📍 Per iniziare la caccia, recatevi nel seguente luogo. Quando siete arrivati mandatemi la vostra posizione!","📍 To start the hunt, go to the following place and when you are there send me your position!",📍 狩りを始めるには、次の場所に行き、そこにいるときは私にあなたの立場を送ってください！,"📍 Um die Schatsuche zu starten, geht ihr zu folgendem Ort. Wenn ihr dort ankommt, teilt eure Position mit mir!"
MSG_GPS_OK,,"👏 Bravi, siete arrivati!","👏 Great, you have arrived!",👏 素晴らしい、あなたは到着しました！,"👏 Super, ihr habt das Ziel erreichen!"
MSG_GROUP_NAME,,🏷️ Come prima cosa scegliete un *nome per la vostra squadra*.,"🏷️ First, you need to choose a  *name of your team*.",🏷️ 最初に、チームの *名前 *を選択する必要があります。,🏷️ Erstens wählt ihr einen *Namen Ihres Teams* aus.
MSG_GROUP_NAME_INVALID,,"❌ Il nome che avete inserito deve contenere *solo lettere o spazi*.
Riprova.","❌ The name should only contain *letters or spaces*.
Try again.","❌ 名には *文字またはスペース *のみが含まれている必要があります。
再試行。","❌ Der Name sollte nur *Buchstaben oder Leerzeichen* enthalten.
Versuch es nochmal."
MSG_GROUP_NAME_OK,,"😉 Bene, *{}* mi sembra un bellissimo nome!","😉 Great, *{}* seems a so cool name!",😉 * {} *はいい名前のようです！,"😉 Sehr gut, * {} * scheint als ein cooler Name!"
MSG_GROUP_NAME_TOO_LONG,,"❌ Il nome che avete inserito è troppo lungo.
Inseritene uno con *al massimo {} caratteri*.","❌ The name you chose is too long.
Choose a different one with *max {} characters*.","❌ 選んだ名前は長すぎます。
*max {}文字 *を持つ別のものを選択します。","❌ Der Name deines Teams ist zu lang.
Wählt ihr einen anderen mit *max {} Zeichen *."
MSG_HISTORIC_INFO,,ℹ️ Per maggiori informazioni su hiSTORIC visita il nostro [sito](https://historictrento.it) o contattaci a historic.trento@gmail.com,ℹ️ For more informations about hiSTORIC visit our [website](https://historictrento.it) or contact us by email at historic.trento@gmail.com,ℹ️ historic historic Vits Our [Webサイト](https://historictrento.it)についての詳細については、historic.trento@gmail.comにメールでお問い合わせください。,ℹ️ Weitere Informationen uber hiSTORIC befinden sich auf unsere [Website] (https://historictrento.it) oder kann man uns direkt kontaktieren per E -Mail unter historic.trento@gmail.com
MSG_HUNT_ADMIN_SELECTED,,👉 ADMIN HUNT: {},👉 ADMIN HUNT: {},👉 管理者狩り：{},👉 Admin -Hunt: {}
MSG_HUNT_DISABLED,,📆 La caccia al tesoro non è ancora attiva. Aspetta il giorno e l'ora a cui ti sei prenotato/a per iniziare a giocare!,📆 The treasure hunt is not active yet. Wait for the day and time when the hunt is supposed to start!,📆 トレジャーハントはまだアクティブではありません。狩りが始まることになっている日と時間を待ってください！,"📆 Die Schatzsuche ist noch nicht verfügbar. Warte bis zu dem Tag und der Uhrzeit, die ihr gebucht habt, um mit dem Spiel zu beginnen!"
MSG_HUNT_NEARBY_NO,,❌ Purtroppo non ci sono cacce al tesoro attive vicino a te. In futuro fornirò un modo per vedere dove sono le cacce attive più vicine in modo che possiate giocare in caso vi rechiate in quelle zone.,❌ Unfortunately there are no active treasure hunts near you. In the future I will provide a way to see where the closest active hunts are so that you can play in case you go to those areas.,❌残念ながら、お近くにアクティブな宝狩りはありません。将来的には、最も近いアクティブな狩りがどこにあるかを確認する方法を提供します。,"❌ Es gibt keine verfügbaren Schatzsuche in der Nahe. In Zukunft werde ich eine Möglichkeit anbieten, wo mann von nächstgelegenen aktiven Jagden erkundigen wird."
MSG_HUNT_NEARBY_YES,,"📍 Molto bene, ci sono cacce al tesoro attive vicino a te! Puoi selezionarne una tra quelle qui sotto.","📍 Very well, there are active treasure hunts close to you! You can select one of those below.",📍、あなたの近くに活動している宝物への狩りがあります！以下のいずれかを選択できます。,"📍 Sehr gut, es gibt verschiedene verfügbaren Schatzsuche in deiner Nähe!Du könntest eines der folgenden auswählen."
MSG_HUNT_NOT_AVAILABLE_IN_YOUR_LANGUAGE,,"🙇 Ci dispiace, la caccia al tesoro non è disponibile nella tua lingua. Cambia lingua usando uno dei pulsanti qua sotto o premi su ANNULLA.","🙇 We are sorry, the treasure hunt is not available in your language. Change language using one of the buttons below or press on cancel.",🙇 宝狩りはあなたの言語では利用できません。下のボタンのいずれかを使用して言語を変更するか、キャンセルを押します。,"🙇 Es tut mir leid, die Schatzsuche ist in diese Sprache nicht verfügbar.  Wähle eine gultige Sprache mit den folgenden Schaltflächen oder drücke auf Abbrechen."
MSG_HUNT_NOT_TERMINATED,,⌛ Vi preghiamo di attendere la comunicazione del termine della caccia al tesoro.,⌛ Please wait for a message to indicate that the game is over.,⌛ ゲームが終わったことを示すメッセージが待ってください。,"⌛ Das Spiel ist vorbei, wenn ihr eine Nachricht davon bekommt."
MSG_HUNT_TERMINATE_CONFIRM,,"🤔 Sei proprio sicuro/a di voler terminare la caccia: {}? QUESTO COMANDO NON È REVERSIBILE. A tutte le persone ancora all'interno, verrà terminata la caccia.",🤔 Are you really sure you want to terminate the hunt: {}? YOU CAN'T UNDO THIS COMMAND. ALL PLAYERS IN THE HUNT WILL BE KICKED OUT.,🤔 を終わらせたいのは本当に確信していますか：{}？このコマンドを元に戻すことはできません。狩りのすべてのプレイヤーは追い出されます。,🤔 Willst du wirklich das Spiel verlassen: {}? Diese Befehl ist nicht rückgängig. Alle Spieler auf der Jagd werden rausgeschmissen.
MSG_HUNT_TERMINATED_RESET_OFF,,"⏰ Il tempo a disposizione è terminato!
🏘 Ritornate al punto di partenza per la premiazione!","⏰ Time is up!
🏘 Go back to the starting point for the awarding!","⏰ 時間が経ちました！
🏘 授与の出発点に戻ってください！","⏰ Die Zeit ist abgelaufen!
🏘 Rennt zum Ausgangspunkt für die Prämierung!"
MSG_HUNT_TERMINATED_RESET_ON,,"⏰ Il tempo a disposizione è terminato!

📜 Pubblicheremo i risultati sulla nostra [pagina FB](https://www.facebook.com/historictrento).","⏰ Time is up!

📜 We will publish the result on our [FB page](https://www.facebook.com/historictrento).","⏰ 時間が経ちました！

📜 [[FBページ](https://www.facebook.com/historictrento)で結果を公開します。","⏰ Die Zeit ist abgelaufen!

📜 Wir werden eures Ergebnis auf unserer [FB -Seite] (https://www.facebook.com/historictrento) veröffentlichen."
MSG_LANGUAGE_SWITCHED,,🇮🇹 Lingua settata per ITALIANO,🇬🇧 Language set on ENGLISH,🇯🇵 日本語に設定された言語,🇩🇪 Sprache auf Deutsch eingestellt
MSG_LIST_HUNTS_FROM_GPS,,📍Inviami la tua *posizione* per vedere se ci sono cacce attive nelle vicinanze.,📍 Send me your *position* to see if there are treasure hunts nearby.,📍 近くに宝狩りがあるかどうかを確認するために、私にあなたの *ポジション *を送ってください。,"📍 Schicke mir deine * Position *, um zu sehen, ob es in der Nähe Schatzsuche gibt."
MSG_MEDIA_INPUT_ABORTED,,❌ Invio annullato.,❌ Submission cancelled.,❌ キャンセルされました。,❌ Sendung storniert.
MSG_MEDIA_INPUT_MISSIONE_OK_01,,😀 Fantastico!,Fantastic! 😀,素晴らしい！ 😀,Fantastisch! 😀
MSG_MEDIA_INPUT_MISSIONE_OK_02,,😀 Super!,Super! 😀,素晴らしい！ 😀,Super! 😀
MSG_MISSION_N_TOT,,*🎳 Missione {}/{}*,*🎳 Mission {}/{}*,*🎳 ミッション{}/{}*,*🎳 Mission {}/{}*
MSG_MISSION_SKIPPED,,"⏩ Ok, saltiamo questa missione!","⏩ Ok, let's skip this mission!",⏩ わかりました、このミッションはスキップしましょう!,"⏩ Ok, überspringen wir diese Mission!"
MSG_INPUT_SKIPPED,,"⏩ Ok, saltiamo il tuo input!","⏩ Ok, let's skip your input!",⏩ OK、入力は省略しましょう。,"⏩ Ok, überspringen wir Ihre Eingabe!"
MSG_NO_CHANGE_LANG_IN_HUNT,,❌ Non puoi cambiare la lingua durante la caccia.,❌ You can't change the tongue during hunting.,❌ 狩猟中に舌を変えることはできません。,❌ Du kannst die Sprache während der Jagd nicht ändern.
MSG_NO_FORWARDING_ALLOWED,,⛔️ Input non valido! Non puoi inoltrarmi messaggi!,⛔️ Not a valid input! You cannot forward me messages.,⛔️ 有効な入力ではありません！メッセージを転送することはできません。,⛔️ Ungültiger Befehl! Du kannst keine Nachrichten hinterlassen.
MSG_NO_HUNTS,,"😀 Ciao! 
In questo momento non c'è nessuna caccia al tesoro attiva.
Vieni a trovarci sul sito [historic](https://www.historictrento.it) o mandaci una email a 
historic.trento@gmail.com.","😀 Hi!
In this moment there is no active treasure hunt.
Come to visit us on our website [historic](https://www.historictrento.it) or send us an email to 
historic.trento@gmail.com.","😀 こんにちは！
この瞬間、アクティブな宝狩りはありません。
私たちのウェブサイト[Historic]（https://www.historictrento.it）で私たちのウェブサイトにアクセスするか、メールを送ってください
historic.trento@gmail.com。","😀 Hallo!
Derzeit gibt es keine verfügbare Schatzsuche.
Besuche uns auf unserer Website [historisch] (https://www.historictrento.it) oder sende uns eine E -Mail an eine E -Mail an
historic.trento@gmail.com."
MSG_NOT_IN_GAME,,❌ Non hai iniziato una caccia al tesoro.,❌ You are not in a treasure hunt.,❌ あなたは宝狩りにいません。,❌ Du bist in keiner Schatzsuche.
MSG_PRESS_FOR_ENDING,,"La caccia al tesoro è terminata! Siete stati bravissimi! Spero vi siate divertiti quanto me! 
🎇 Ora premete il pulsante per terminare la caccia e bloccare il tempo!",🎇 Press the button to end the game.,🎇 [ボタンを押してゲームを終了します。,"🎇 Drücke die Taste, um das Spiel zu beenden."
